Bit,SMILES
170,[NH](-[c](:[n]:[n]):[s]:[c])-[S](=[O])(=[O])-[c](:[cH]):[cH]
171,[N+](-[c])(=[O])-[O-]
172,[cH](:[n]:[c]):[c](:[n])-[N+]
173,[S](-[NH2])(=[O])(=[O])-[c](:[cH]):[cH]
174,[cH]1:[cH]:[cH]:[cH]:[c](:[c]):[c]:1:[o]:[c]
175,[cH](:[cH]:[c]):[cH]:[cH]
176,[c](=[O])(:[cH]:[n]):[nH]:[c]
177,[c](:[cH]:[cH])(:[cH]:[cH])-[c](:[c]):[o]
178,[cH]1:[cH]:[c](-[c]):[c]:[cH]:[c]:1-[Cl]
179,[CH2](-[CH3])-[O]-[P]
180,[CH2](-[CH3])-[N](-[c])-[CH2]
181,[c](-[Cl])(:[c](-[c]):[cH]):[c](:[c])-[Cl]
182,[cH]1:[cH]:[cH]:[cH]:[cH]:[c]:1-[CH2]-[C]
183,[c](:[cH]:[cH])(-[O]-[c]):[c](:[cH])-[O]
184,[c](:[cH]:[c])(:[cH]:[cH])-[NH]-[C]
185,[cH](:[c](:[c])-[Cl]):[c](:[cH])-[Cl]
186,[C](-[C])(-[NH])=[O]
187,[c](-[OH])(:[cH]:[cH]):[c](-[C]):[cH]
188,[S](=[O])(=[O])(-[c](:[cH]):[cH])-[c](:[cH]):[cH]
189,[cH]1:[cH]:[c](:[cH]):[c]:[cH]:[c]:1-[O]-[CH3]
190,[P](=[O])(-[O])(-[O])-[O]
191,[c](:[cH])(:[cH])-[NH]
192,[P]
193,[c](:[cH]:[cH])(:[cH]:[cH])-[O]-[c]
194,[CH2](-[CH3])-[CH](-[CH2])-[CH2]
195,[O](-[CH3])-[C](-[CH2])=[O]
196,[CH2]1-[CH2]-[c](:[cH]):[c]-[CH](-[CH2])-[CH]-1-[CH](-[C])-[CH2]
197,[NH](-[C])-[CH2]
198,[c](:[cH]:[cH])(-[S]-[c]):[c](:[cH])-[NH]
199,[cH](:[c](:[c])-[N+]):[c](:[cH])-[N+]
200,[c](:[c])(:[cH])-[NH]
201,[cH]1:[cH]:[cH]:[c]:[c](-[NH2]):[cH]:1
202,[c](:[c])(:[c])-[OH]
203,[cH](:[cH]:[c]):[c](:[c]):[cH]
204,[cH]1:[cH]:[cH]:[c]:[c](-[CH2]):[cH]:1
205,[c](-[OH])(:[cH]:[c]):[c](-[C]):[cH]
206,[CH2](-[C](=[O])-[OH])-[c](:[cH]):[cH]
207,[S]
208,[c]1(-[N](-[CH2]-[CH2])-[CH2]-[CH2]):[cH]:[cH]:[c]:[cH]:[cH]:1
209,[o](:[c]):[cH]
210,[c](:[cH]:[cH])(:[cH]:[cH])-[S](=[O])(=[O])-[O]
211,[cH](:[c](:[cH])-[Cl]):[c](:[cH])-[Cl]
212,[c](:[c])(:[cH])-[CH2]
213,[c]1(-[C](=[O])-[OH]):[cH]:[cH]:[c]:[cH]:[cH]:1
214,[CH2](-[CH3])-[O]
215,[C]1(-[CH3])(-[CH3])-[CH](-[CH]=[C])-[CH]-1-[C](=[O])-[O]
216,[c](:[cH])(:[cH])-[Cl]
217,[CH2](-[CH3])-[O]-[CH]
218,[cH]1:[n]:[c](:[n]):[c](:[c]):[nH]:1
219,[CH2](-[c])-[CH2]
220,[CH](-[c])(-[CH])-[OH]
221,[c](:[cH]:[c])(-[O]-[CH3]):[c](:[cH])-[O]
222,[OH]-[CH2]
223,[c]1(-[Cl]):[cH]:[c](:[c]):[c]:[c](-[Cl]):[c]:1-[Cl]
224,[cH]1:[cH]:[n]:[c]:[c](:[nH]):[n]:1
225,[cH]1:[cH]:[cH]:[cH]:[c](-[CH]):[cH]:1
226,[cH]1:[cH]:[cH]:[cH]:[cH]:[c]:1/[CH]=[CH]
227,[OH]-[CH]
228,[O](-[c](:[cH]):[cH])-[c](:[cH]):[cH]
229,[SH]
230,[cH](:[c](:[cH])-[Cl]):[c](:[c]):[c]
231,[c]1(-[OH]):[cH]:[cH]:[c]:[cH]:[cH]:1
232,[CH](-[CH2])=[O]
233,[OH]-[CH]
234,[n](-[CH3])(:[c](:[c])=[O]):[c](:[n])=[O]
235,[cH](:[cH]:[c]):[c](:[cH])-[CH3]
236,[C](-[F])(-[F])(-[F])-[c](:[cH]):[cH]
237,[CH2](-[CH3])-[O]-[c]
238,[cH](:[c](:[c])-[CH2]):[c](:[cH])-[Cl]
239,[C](-[N])(=[O])-[O]
240,[O](-[c](:[cH]):[cH])-[c](:[c]):[cH]
241,[O]=[S]
242,[cH]1:[cH]:[cH]:[cH]:[cH]:[c]:1-[CH2]-[c]
243,[CH2](-[CH2]-[C])-[CH2]-[CH2]
244,[C](#[N])-[CH2]-[CH2]
245,[c](-[Cl])(:[cH]:[cH]):[c](:[c])-[Cl]
246,[NH](-[c])-[S]
247,[C](=[O])(-[CH2]-[O])-[N](-[CH2])-[CH2]
248,[o](:[c]):[n]
249,[O](-[CH3])-[c](:[c]):[cH]
250,[c](:[cH])(:[cH])-[N+]
251,[c]1(-[OH]):[cH]:[c](-[OH]):[c]:[c](:[o]):[cH]:1
252,[c](:[c])(:[c])-[CH3]
253,[cH]1:[cH]:[cH]:[cH]:[c](-[N]):[c]:1-[S]-[c]
254,[CH](-[CH3])(-[CH3])-[CH2]-[O]
255,[c](:[cH])(:[cH])-[CH]
256,[CH2](-[CH2]-[C])-[N](-[CH2])-[CH2]
257,[CH](=[C](\[C])-[NH])\[c](:[cH]):[cH]
258,[O](-[c])-[C]
259,[O]1-[CH2]-[O]-[c](:[cH]):[c]-1:[cH]:[c]
260,[CH](-[NH])=[O]
261,[cH](:[cH]:[cH]):[c](:[c]):[n]
262,[C](-[F])(-[F])(-[F])-[c](:[c]):[cH]
263,[C](=[O])(-[OH])-[CH2]-[CH2]
264,[O](-[C](-[C])=[O])-[CH](-[CH3])-[CH3]
265,[CH](-[CH3])(-[CH3])-[NH]-[c]
266,[cH]1:[cH]:[cH]:[cH]:[c](-[C]):[c]:1-[OH]
267,[cH]1:[cH]:[c](:[cH]):[c]:[c](:[c]):[c]:1:[cH]:[c]
268,[CH2](-[CH])-[CH]
269,[c]1(-[NH]-[C](-[c])=[O]):[cH]:[cH]:[c]:[cH]:[cH]:1
270,[c](:[c])(:[c])-[O]
271,[c](:[c])(:[cH])-[N]
272,[c]12:[cH]:[cH]:[cH]:[cH]:[c]:1:[c](-[CH2]):[cH]:[nH]:2
273,[c](:[cH]:[cH])(-[NH]-[C]):[c](:[cH])-[CH3]
274,[c](:[cH]:[c])(:[cH]:[c])-[S](=[O])(=[O])-[OH]
275,[c](:[c])(:[c])-[NH2]
276,[n](:[c](:[cH]):[c]):[c](:[c]):[cH]
277,[cH]1:[cH]:[cH]:[cH]:[c](-[S]):[cH]:1
278,[C](=[C])(-[CH3])-[O]
279,[cH]1:[cH]:[cH]:[cH]:[c](:[c]):[c]:1:[nH]:[c]
280,[c]1(-[N+](=[O])-[O-]):[cH]:[cH]:[c]:[c](-[Cl]):[cH]:1
281,[cH]1:[cH]:[c](-[C]):[cH]:[cH]:[c]:1-[NH2]
282,[CH](-[CH2]-[CH3])(-[CH2]-[CH2]-[CH2])-[CH2]-[O]-[C]
283,[CH3]-[CH]
284,[CH2](-[CH2])-[C]
285,[CH3]-[CH]
286,[C](=[O])(-[NH]-[c])-[N](-[CH3])-[CH3]
287,[cH](:[c](-[C]):[cH]):[c](-[C]):[cH]
288,[cH](:[cH]:[cH]):[c](:[cH])-[N]
289,[cH](:[cH]:[c]):[c](:[cH])-[OH]
290,[CH](-[N]=[N])(-[C](-[CH3])=[O])-[C](-[NH])=[O]
291,[CH](-[OH])(-[CH2]-[OH])-[CH2]-[O]-[c]
292,[cH]1:[cH]:[cH]:[cH]:[c](:[s]):[c]:1:[n]:[c]
293,[CH2](-[CH2]-[CH2]-[CH2])-[CH2]-[O]-[C]
294,[CH3]-[CH2]
295,[c]1(-[N+](=[O])-[O-]):[cH]:[cH]:[c]:[cH]:[cH]:1
296,[cH]1:[cH]:[c](-[C]):[c]:[cH]:[c]:1-[Cl]
297,[cH]1:[cH]:[cH]:[c]:[c](-[C]):[cH]:1
298,[c](:[cH]:[cH])(-[C](-[c])=[O]):[c](-[C]):[c]
299,[O](-[CH3])-[CH2]-[C]
300,[O]1-[CH2]-[O]-[c](:[cH]):[c]-1:[cH]:[cH]
301,[CH2](-[CH2])-[CH]
302,[n](:[cH]:[c]):[cH]:[n]
303,[c](-[Cl])(:[cH]:[cH]):[c](:[c])-[O]
304,[CH2](-[CH2]-[CH3])-[CH2]-[CH]
305,[C](#[N])-[c](:[cH]):[cH]
306,[cH]1:[cH]:[cH]:[c]:[c](-[Br]):[cH]:1
307,[NH](-[C])-[S]
308,[cH](:[c](:[c])-[F]):[c](:[c]):[c]
309,[C](-[c])(-[NH2])=[O]
310,[cH](:[cH]:[c]):[c](:[cH])-[CH2]
311,[cH](:[c](-[C]):[cH]):[c](:[c])-[N+]
312,[cH]1:[cH]:[cH]:[cH]:[c](-[O]):[cH]:1
313,[c](:[n])(:[n])-[Cl]
314,[O]=[c]
315,[cH]1:[cH]:[c](-[S]):[cH]:[cH]:[c]:1-[NH2]
316,[O](-[CH2])-[CH]
317,[c]1(-[C](-[CH3])(-[CH3])-[CH3]):[cH]:[cH]:[c]:[cH]:[cH]:1
318,[NH](-[C])-[N]
319,[c](:[cH])(:[cH])-[S]
320,[cH](:[c](-[c]):[c]):[c](:[c])-[Cl]
321,[cH]1:[c](-[N+](=[O])-[O-]):[cH]:[cH]:[c](-[NH]):[c]:1-[N+](=[O])-[O-]
322,[c](:[cH])(:[cH])-[O]
323,[c](-[c])(:[c]):[n]
324,[cH](:[cH]:[c]):[c](:[c])-[N+]
325,[cH]1:[cH]:[cH]:[cH]:[c](-[NH]):[cH]:1
326,[CH]1(-[n](:[c]):[cH])-[CH2]-[CH2]-1
327,[c](:[cH]:[cH])(:[cH]:[cH])-[n](:[c]):[n]
328,[CH](\[c])=[C]
329,[cH]1:[cH]:[cH]:[c]:[c](:[nH]):[cH]:1
330,[c]1(-[C](=[O])-[NH]-[C]):[c](-[F]):[cH]:[cH]:[cH]:[c]:1-[F]
331,[S](=[O])(=[O])(-[NH]-[C])-[c](:[cH]):[cH]
332,[c](-[Cl])(:[cH]:[cH]):[c](-[c]):[cH]
333,[c](:[c])(:[cH]):[c]
334,[CH2](-[CH3])-[NH]-[c]
335,[cH]1:[cH]:[n]:[c]:[c](:[n]):[n]:1
336,[c]1(-[NH2]):[cH]:[cH]:[c]:[cH]:[cH]:1
337,[c](-[F])(:[cH]:[n]):[c](:[nH])=[O]
338,[cH](:[c](:[c])-[Cl]):[c](:[c])-[Cl]
339,[c](:[c])(:[n])-[Cl]
