molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
3115,293.15,5.39482,-1.04525,21600.98312,10.6602,0.8205,5.2503,-3.1496,-103.0256,-78.7084
3116,288.15,3.71354,-0.81988,20638.46601,8.7199,1.3599,3.9675,-8.7814,-82.6643,-91.4457
3117,298.15,7.84082,-0.25485,5154.56305,3.9543,0.7252,0.9842,-1.2527,-24.0966,-25.3493
3118,293.15,7.9373,-0.34386,2837.7783,1.7039,1.1533,1.7142,-2.1975,-37.8262,-37.4606
3119,293.15,-4.43966,-0.81755,41255.49024,10.6631,2.0158,4.7575,-21.4287,-101.5217,-113.0319
3120,298.15,4.7185,-0.63408,14954.72055,5.4221,1.4787,2.4182,-14.6709,-48.4101,-56.9883
3122,310.15,8.08634,-0.95109,16431.67365,5.2998,2.4136,3.8854,-5.7057,-73.5476,-71.7785
3123,293.15,8.16052,-0.2745,4296.52245,4.6095,0.0,1.9519,-7.6277,-43.6284,-42.7775
3124,293.15,-1.23787,-0.54565,20602.28095,7.0435,0.0,2.6184,-17.8195,-53.0068,-54.4956
3125,298.15,8.14613,-0.26838,5258.52518,3.6198,0.7266,1.2306,0.2847,-29.173,-28.8884
3126,308.15,4.60504,-0.57278,8947.2449,6.4912,0.0,3.6263,-5.2913,-66.9749,-38.6621
3128,293.15,0.40547,-1.03747,48987.46775,9.2367,2.0698,5.1249,-37.2924,-108.1932,-138.8592
3130,293.15,6.04025,-0.19829,8382.80217,5.0663,0.0,1.4235,1.8002,-33.6434,-29.891
3131,303.15,4.06044,-0.40118,18383.82448,7.5576,0.0,2.6606,-13.2113,-60.0624,-73.2737
3133,288.15,9.39259,-0.6701,9417.27673,6.5409,1.6042,3.1722,-1.3443,-67.6199,-68.9642
3134,298.15,3.39786,-0.09009,5284.95108,3.1892,0.0,0.0,-8.3137,-2.8958,-11.2095
3135,293.15,4.07773,-0.61056,11054.66801,5.8376,0.7915,2.9537,-6.7997,-55.7749,-51.8695
3136,293.15,6.21461,-0.39835,4742.31814,2.4717,1.9759,2.0723,-2.5347,-44.0394,-41.7837
3137,303.15,2.99573,-0.86966,17149.45102,6.9728,2.7507,3.8922,3.9873,-86.7536,-72.7279
3138,298.15,1.4303,-0.13031,10262.88325,4.2638,0.0,0.0,-11.1221,-3.5315,-14.6536
3139,293.15,5.86363,-0.56823,11544.97106,7.3907,0.9777,3.4709,-2.1194,-76.5967,-72.246
3140,298.15,7.84061,-0.38505,4735.28827,4.5738,0.637,2.1229,-1.9367,-45.8692,-47.8058
3141,293.15,7.43544,-0.31316,4888.92413,2.4651,1.0251,1.4784,-8.1409,-30.2988,-38.1661
