molindx,Temperature,logS,rdf_eeq,rdf_alp,sdc,sdx,sa,dga,dgp,dgtot
985,298.15,2.03543,-0.9308,31389.99044,10.8193,0.7761,4.1006,-8.9279,-87.6021,-77.665
986,293.15,7.35244,-0.44092,15073.4702,6.995,0.0,1.9117,-7.104,-44.7867,-32.5376
987,293.15,-4.35511,-0.079,16871.19797,3.2553,0.0,0.8059,-1.0213,-21.8428,-22.0862
988,298.15,6.60913,-0.12893,2181.15985,2.1692,0.0,1.2978,0.0409,-32.3848,-30.5189
989,293.15,0.26234,-0.67653,17728.81598,7.0685,0.0,2.8542,7.7141,-60.7684,-27.132
990,293.15,4.31749,-0.29323,9028.07008,5.1332,0.0,0.8898,1.8704,-21.7389,-19.8686
991,298.15,5.86707,-0.08444,3244.09708,2.4597,0.0,0.6248,-0.3677,-16.8762,-16.583
992,293.15,2.3979,-0.52471,22011.10692,9.4561,0.0,3.4279,7.1431,-76.3724,-39.0001
993,298.15,7.24416,-0.99664,18434.59671,8.0098,2.0481,4.4343,-1.9671,-88.6864,-84.311
994,293.15,8.80486,-0.62342,6887.55807,6.4952,0.0,3.6708,-7.197,-69.2712,-48.8841
995,294.15,8.16905,-1.03122,35062.91552,12.4544,0.7777,5.0871,15.0469,-109.0433,-48.1682
996,303.15,-7.91125,-0.11676,22558.54274,2.5294,0.0,1.3207,1.7327,-31.7039,-28.0546
997,293.15,-3.52572,-0.08047,16887.27559,3.4559,0.0,0.925,-1.0202,-24.8162,-25.3544
998,298.15,10.81978,-0.11253,4405.61707,3.426,0.0,1.1541,-8.4236,-21.7276,-26.8216
999,298.15,0.98954,-0.59676,23742.08499,9.4129,0.0,2.7719,-4.9844,-63.7513,-53.3676
1000,298.15,0.93668,-0.35415,5877.31396,4.3931,0.6476,1.9269,-1.1477,-40.4985,-41.6463
1001,303.15,-10.2488,-0.09457,25207.27075,1.7005,0.0,1.1567,3.2634,-27.1811,-22.5086
1002,298.15,9.96176,-0.56045,5943.04075,4.5813,1.7406,2.3237,-0.5076,-52.5329,-53.0405
1003,298.15,4.06969,-1.02193,19099.0944,6.3396,1.9431,3.899,-2.3986,-78.8978,-66.1468
1004,298.15,-8.15722,-0.06905,19128.84742,2.8092,0.0,0.8475,0.5124,-22.4127,-21.1393
1005,298.15,-6.70074,-0.08989,14702.07726,4.0059,0.0,0.9157,-2.5585,-25.0977,-27.6562
1006,293.15,-4.60517,-0.66016,28953.59387,6.8376,1.2136,3.9787,-14.4834,-80.886,-85.8973
1007,298.15,7.7107,-0.97389,16325.41548,7.69,2.1079,4.4425,-3.0746,-88.524,-85.0609
1008,293.15,8.83928,-0.52138,5133.60068,5.1079,0.0,3.0216,-7.8471,-55.1979,-42.5105
1009,295.15,2.64017,-0.60491,12017.22026,5.3391,0.9413,3.4673,-14.9808,-67.3408,-72.5649
1010,298.15,0.00566,-0.1697,10088.50088,4.6309,0.0,1.9182,-8.7216,-46.2316,-46.6393
1011,303.15,9.54681,-0.15579,3539.43283,3.0042,0.0,0.7943,-1.9186,-18.3799,-20.2933
1012,298.15,-4.17339,-0.08167,16872.34112,3.6056,0.0,0.9891,-1.0206,-26.4544,-27.1678
1013,373.15,9.99868,-0.24477,4890.19109,2.7595,0.9954,1.6516,-2.4162,-38.3652,-35.8997
1014,298.15,4.86753,-0.25462,6648.84636,1.7411,1.0585,1.4532,-4.6599,-29.2125,-33.8724
1015,293.15,9.43348,-0.51595,7179.10028,5.4276,0.0,2.7988,-5.4813,-48.3179,-36.7257
1016,298.15,6.01616,-0.06744,3176.96989,2.561,0.0,0.3732,-1.1145,-11.0717,-12.1861
1017,291.15,11.40761,-0.93741,10251.02222,4.5995,4.6967,5.2774,-0.4079,-97.5426,-97.9505
1018,298.15,2.30349,-0.05489,6725.65625,2.5003,0.0,0.5325,1.4804,-14.7499,-13.2695
