molindx,MolarMass,SolvationEnergy,DipoleMoment,MolecularVolume,MolecularSurfaceArea,QXX,QYY,QZZ,HOMO,LUMO,gap,Temperature,logS
50,211.1306,68.28288,5.99647532,133.915,227.75,29.74725109,-20.65138415,-9.095866947,-7.955002445,-2.940863892,5.014138554,298.15,9.17684
51,281.2646,64.34992,7.871107129,178.185,312.329,34.1791489,-7.699339831,-26.47980907,-7.953938479,-2.759826447,5.194112032,293.15,5.48065
52,225.1574,65.0612,7.953089382,138.685,236.2,21.40035729,-4.749484828,-16.65087246,-7.952934379,-2.713161345,5.239773033,293.15,7.52297
53,225.1574,61.12824,6.886138554,141.56,241.184,-21.712024,-1.341729098,23.0537531,-7.948972399,-2.888696917,5.060275482,293.15,8.36181
54,281.32,106.02256,7.580694346,167.259,277.647,37.65556289,-1.020064404,-36.63549849,-7.947214542,-2.789707286,5.157507257,298.15,4.09434
55,296.5551,39.58064,6.883688152,178.532,277.393,38.43796365,-13.99721443,-24.44074923,-7.947100255,-2.528075933,5.419024321,298.15,-0.22311
56,267.2378,64.4336,7.785647198,170.895,297.893,31.25126731,-7.955863637,-23.29540367,-7.945581858,-2.736209673,5.209372185,293.15,5.48061
57,279.3352,38.11624,5.748184831,184.932,328.688,-29.34154994,9.523183579,19.81836636,-7.942547787,-2.799459851,5.143087936,298.15,0.33647
58,245.11,57.27896,2.68047788,134.524,226.64,2.970609289,21.29778075,-24.26839004,-7.942479759,-3.122124469,4.82035529,298.15,8.58298
59,267.2378,64.26624,7.68217802,168.541,293.897,30.79823347,-7.127418696,-23.67081478,-7.941445726,-2.740718602,5.200727123,293.15,6.23447
60,245.2064,94.60024,8.919615938,140.66,240.878,-24.10156247,6.626818435,17.47474404,-7.936457876,-1.810954589,6.125503287,286.15,8.10172
61,445.3,84.64232,12.28521365,226.141,383.761,33.04965063,-35.08091355,2.031262912,-7.935200709,-1.825467789,6.10973292,293.15,4.36055
62,239.1842,64.60096,7.675580151,153.25,263.028,24.9403136,-6.359975886,-18.58033772,-7.935149008,-2.733047709,5.202101299,293.15,7.97255
63,253.211,63.88968,7.683079608,158.026,273.538,28.07073442,-6.702892397,-21.36784202,-7.933059172,-2.72992384,5.203135332,293.15,7.03873
64,253.211,65.22856,7.954473665,158.809,275.18,28.67801152,-8.038067428,-20.63994409,-7.932008812,-2.712612491,5.219396321,293.15,6.70923
65,128.13,45.31272,9.93923132,118.068,189.51,-5.972935598,2.387582718,3.58535288,-7.925597806,-2.114758985,5.810838821,298.15,5.97889
